id,tweet,labels,text
2085,"#VIDEOS: Protesters hop over turnstiles after @STCMetroDF raises single ticket price by 70%, just before #Christmas: http://aristeguinoticias.com/0912/mexico/videos-posmesalto-las-protestas-del-fin-de-semana-por-el-aumento-a-tarifa-del-metro/ …",0,"#VIDEOS: Protesters hop over turnstiles after @STCMetroDF raises single ticket price by 70%, just before #Christmas: http://aristeguinoticias.com/0912/mexico/videos-posmesalto-las-protestas-del-fin-de-semana-por-el-aumento-a-tarifa-del-metro/ …"
1744,Venue starts getting packed for the Awards Ceremony of the Morelia Int'l Film Festival #mexicotoday http://yfrog.com/h6519wyj,2,Venue starts getting packed for the Awards Ceremony of the Morelia Int'l Film Festival #mexicotoday http://yfrog.com/h6519wyj
5639,"Did Mexican pres Peña Nieto mispronounce (or just make up?) Chinese leader's name as ""Juan Yin, Juan Yin,"" or did he try to say ""Welcome""?",1,"Did Mexican pres Peña Nieto mispronounce (or just make up?) Chinese leader's name as ""Juan Yin, Juan Yin,"" or did he try to say ""Welcome""?"
5180,BP Gulf of Mexico oil spill trial opens in New Orleans with scathing attack on safety standards: http://www.channelnewsasia.com/stories/afp_world/view/1256453/1/.html …,0,BP Gulf of Mexico oil spill trial opens in New Orleans with scathing attack on safety standards: http://www.channelnewsasia.com/stories/afp_world/view/1256453/1/.html …
232,A visita ao México ocorre em momento promissor das relações bilaterais. Saiba mais: http://itamaraty.gov.br/index.php?option=com_content&view=article&id=13188:visita-do-ministro-mauro-vieira-ao-mexico-e-iii-reuniao-da-comissao-binacional-brasil-mexico-cidade-do-mexico-22-e-23-de-fevereiro-de-2016&catid=42&Itemid=280&lang=pt-BR…,2,The visit to Mexico occurs at the promising time of bilateral relations. Learn more: http://itamaraty.gov.br/index.php?option=com_content&view=article&id=13188:visita-ministro-maurus-ie-ao-mexic-e-iii-runia-da-comissao-binacional -Brasil-Mexico-city-do-Mexico-22-e-23-February-2016 & Catid = 42 & itemid = 280 & lang = en ...
1058,"#tbt to Lions and Frida and tacos, oh my! ??? Mexico, I had so much fun with you. Te amo! You’re up next, Europe! ? https://t.co/6My2GwoV9f",2,"#tbt to Lions and Frida and tacos, oh my! ??? Mexico, I had so much fun with you. Te amo! You’re up next, Europe! ? https://t.co/6My2GwoV9f"
907,"#Bolivia y #México se reunieron para hacer seguimiento del 1er Mecanismo de Consultas Consulares y Migratorios de 09/2017, con miras a la supresión de visas de estadías de corta duración y al Acuerdo para implementar mecanismos de verificación de información con fines migratorios",2,"#Bolivia and # Mexico gathered to follow up on the 1st mechanism of consular and migratory consultations of 09/2017, with a view to the suppression of short-term stay visas and the agreement to implement information verification mechanisms for migratory purposes"
1410,Q&A session going on now at ITC Women Vendors Exhib and Forum #mexicotoday,2,Q&A session going on now at ITC Women Vendors Exhib and Forum #mexicotoday
1538,Mexico's freight business has transformed into one of the top export industries of Latin America 2nd-largest economy. http://bit.ly/1cbul6o,2,Mexico's freight business has transformed into one of the top export industries of Latin America 2nd-largest economy. http://bit.ly/1cbul6o
4252,Eleven beheaded bodies found in troubled Mexican state http://u.afp.com/LFX,0,Eleven beheaded bodies found in troubled Mexican state http://u.afp.com/LFX
7489,Dos surfistas australianos viajaron a México. Uno de ellos visitaría a su novia http://ow.ly/VDYHf  Fueron asesinados,0,Two Australian surfers traveled to Mexico. One of them would visit his girlfriend http://ow.ly/vdyhf were killed
6807,Más autobuses contra el acoso a las mujeres en México D.F. http://ow.ly/9Q3FX por @isantaeulalia en el blog Mujeres 47 retweets 2 favorites,1,More buses against harassment women in Mexico D.F. http://ow.ly/9q3fx by @isantaeulalia on the blog women 47 retweets 2 favorites
1739,"Coming up...""Little Boy"" Preview with Eduardo Verastegui and Octavio Maya #mexicotoday @FICM http://yfrog.com/h3wasllj",2,"Coming up...""Little Boy"" Preview with Eduardo Verastegui and Octavio Maya #mexicotoday @FICM http://yfrog.com/h3wasllj"
6454,"One rescued in Mexico mine explosion, others still missing http://reut.rs/PQG61Y",0,"One rescued in Mexico mine explosion, others still missing http://reut.rs/PQG61Y"
149,"Bruksel'den #MIKTA (Mexico, Indonesia, Korea, Turkiye, Australia) toplantisi için Seoul'a geldik. #DurmakYokYorulmakYok",2,"We came to Seoul from Bruksel (Mexico, Indonesia, Korea, Turki, Australia) meeting. # COOYYOKYOK"
7234,El gobernador de Chiapas se casa con Anahí http://ow.ly/M7aSq Una boda austera en el estado más pobre de México  Embedded image permalink View photo 202 retweets 155 favorites   Carlos Silva PonceDL favorited,1,Governor of Chiapas is married with Anahí http://ow.ly/m7asq an austere wedding in the poorest state of Mexico Embedded Image Permalink view photo 202 Retweets 155 Favorites Carlos Silva Poncedl Favorited
621,"#MIKTA (Mexico/Indonesia/Rep.of Korea/Turkey/Australia) Senior Officials Meeting was held in Istanbul on May 5, chaired by Turkey.",1,"#MIKTA (Mexico/Indonesia/Rep.of Korea/Turkey/Australia) Senior Officials Meeting was held in Istanbul on May 5, chaired by Turkey."
3730,"Aeromexico to Offer Direct Flights Between #Washington, D.C. and #Mexico City http://bit.ly/H1wkcN #mexicotoday #travel #vacation",2,"Aeromexico to Offer Direct Flights Between #Washington, D.C. and #Mexico City http://bit.ly/H1wkcN #mexicotoday #travel #vacation"
5745,Three Mexican soldiers charged with homicide in deaths of 22 suspected gang members: http://apne.ws/1qUZCMZ,0,Three Mexican soldiers charged with homicide in deaths of 22 suspected gang members: http://apne.ws/1qUZCMZ
942,México ha sufrido un nuevo sismo de 7.5 grados. Estamos atentos y listos a brindar nuestra ayuda en caso de ser requerida. ¡Nuestra solidaridad con ustedes hermanos mexicanos!,2,Mexico has suffered a new earthquake of 7.5 degrees. We are attentive and ready to provide our help if required. Our solidarity with you Mexican brothers!
1674,Plug and Play Tech Center may launch high tech incubator in Mexico http://www.bizjournals.com/sanjose/news/2013/09/17/plug-and-play-may-launch-incubator-in.html …,2,Plug and Play Tech Center may launch high tech incubator in Mexico http://www.bizjournals.com/sanjose/news/2013/09/17/plug-and-play-may-launch-incubator-in.html …
2106,Mexican Astronomers Piece Together Comet Fragments: Historic Near-Miss for Earth http://goo.gl/19lbZ #mexicotoday,2,Mexican Astronomers Piece Together Comet Fragments: Historic Near-Miss for Earth http://goo.gl/19lbZ #mexicotoday
1908,"NYT on Michoacan violence yesterday. Morelia was blockaded: Gunmen Besiege Mexico Leader’s Hometown, Morelia - http://nyti.ms/gtlROt",0,"NYT on Michoacan violence yesterday. Morelia was blockaded: Gunmen Besiege Mexico Leader’s Hometown, Morelia - http://nyti.ms/gtlROt"
560,Lamentamos profundamente las graves consecuencias del temblor en México. Aliento y apoyo a los afectados y a las autoridades. #sismoMéxico,2,We deeply regret the serious consequences of tremor in Mexico. Encouragement and support for affected and authorities. # Sismoméxico.
2793,"Protesters drove a truck through the San Lazaro barricades at one point. But who were the ""black bloc"" groups? http://www.vice.com/read/mexico-welcomed-its-new-president-enrique-pena-nieto …",0,"Protesters drove a truck through the San Lazaro barricades at one point. But who were the ""black bloc"" groups? http://www.vice.com/read/mexico-welcomed-its-new-president-enrique-pena-nieto …"
2278,"RT @HBCUstory The HBCU community & world has lost one of our greatest artists, @HowardU alumna Elizabeth Catlett, who died yesterday",2,"RT @HBCUstory The HBCU community & world has lost one of our greatest artists, @HowardU alumna Elizabeth Catlett, who died yesterday"
2200,Mexican Kardashian lookalike denies leading Sinaloa Cartel's assassin wing Los Antrax: https://news.vice.com/article/mexican-kardashian-lookalike-denies-leading-sinaloas-assassin-wing … via @vicenews #drugwar,0,Mexican Kardashian lookalike denies leading Sinaloa Cartel's assassin wing Los Antrax: https://news.vice.com/article/mexican-kardashian-lookalike-denies-leading-sinaloas-assassin-wing … via @vicenews #drugwar
1197,"Calderon: ""Mexico is emerging as a stronger as a competitive partner to North America"" #unga",2,"Calderon: ""Mexico is emerging as a stronger as a competitive partner to North America"" #unga"
852,"We praise brothers Rubén Albarrán and Emmanuel del Real, @cafetacvba  members,who in an act of humanitarian solidarity visited the Central American migrants at the Jesús “Palillo” Martínez, stadium in México. We agree that no human being is illegal and demand universal citizenship",2,"We praise brothers Rubén Albarrán and Emmanuel del Real, @cafetacvba  members,who in an act of humanitarian solidarity visited the Central American migrants at the Jesús “Palillo” Martínez, stadium in México. We agree that no human being is illegal and demand universal citizenship"
2696,Mexico City's government is defending its operation yesterday against street vendors downtown. It was open battle for a couple hours ...,0,Mexico City's government is defending its operation yesterday against street vendors downtown. It was open battle for a couple hours ...
453,Brasil recebeu com profunda consternação notícia de que o México voltou a ser atingido por violento terremoto. Leia: http://goo.gl/DfFfAh,1,Brazil received with deep consternation news that Mexico returned to be reached by violent earthquake. Read: http://goo.gl/dfffah
1509,RT @Arturo_Sarukhan Google’s top-man in Mexico trumpets country's huge market potential in next decade. Watch here: http://goo.gl/M2sK8,2,RT @Arturo_Sarukhan Google’s top-man in Mexico trumpets country's huge market potential in next decade. Watch here: http://goo.gl/M2sK8
2044,"OC Register: First flights from John Wayne Airport to Mexico City and Cabo San Lucas, competing with #LAX and #TIJ hubs http://www.ocregister.com/articles/flight-357140-airport-mexico.html …",2,"OC Register: First flights from John Wayne Airport to Mexico City and Cabo San Lucas, competing with #LAX and #TIJ hubs http://www.ocregister.com/articles/flight-357140-airport-mexico.html …"
4063,"Mexico ends open relationship with US security agencies in fight against drugs, organized crime: http://apne.ws/10QiqqW  - VW",2,"Mexico ends open relationship with US security agencies in fight against drugs, organized crime: http://apne.ws/10QiqqW  - VW"
4985,"At least 20 inmates killed and several injured after fighting in prison north of Monterrey, #Mexico http://bbc.in/AqqO1K",0,"At least 20 inmates killed and several injured after fighting in prison north of Monterrey, #Mexico http://bbc.in/AqqO1K"
2457,".@mexicoguide reveals 5 surprising facts about Mexico, including ""Mexico received over 22 million tourists in 2010"" http://bit.ly/oLVDmD",2,".@mexicoguide reveals 5 surprising facts about Mexico, including ""Mexico received over 22 million tourists in 2010"" http://bit.ly/oLVDmD"
6671,"En México, ni con Lula estaríamos mejor: Si de algo se jactan los nostálgicos del Partido Revolucionario Instit.. http://bit.ly/17H2da 0 retweets 0 favorites",0,"In Mexico, nor with Lula we would be better: if something boasts the nostalgic of the Revolutionary Party Install .. http://bit.ly/17H2DA 0 RETWEETS 0 Favorites"
815,"Thank you Mexico, we look forward to working with you!",2,"Thank you Mexico, we look forward to working with you!"
1841,Uh-oh: LATimes: Mexico camp appears in disarray - latimes.com http://bit.ly/bkJNNs #mex #worldcup,1,Uh-oh: LATimes: Mexico camp appears in disarray - latimes.com http://bit.ly/bkJNNs #mex #worldcup
294,#Mexico: FMs #Steinmeier+ @ruizmassieu  introduce official logo 4 #Germany Year in Mexico starting in June. #GERinMEX,2,#Mexico: FMs #Steinmeier+ @ruizmassieu  introduce official logo 4 #Germany Year in Mexico starting in June. #GERinMEX
5096,"Mexican cartel kingpin Benjamin Arellano Felix will plead guilty to unspecified US charges, prosecutors say: http://apne.ws/w6cf6B  -EF",2,"Mexican cartel kingpin Benjamin Arellano Felix will plead guilty to unspecified US charges, prosecutors say: http://apne.ws/w6cf6B  -EF"
7468,Happy #NationalCoffeeDay from MX! Did you know we are a leading global exporter of coffee? http://bit.ly/1iIJv94,1,Happy #NationalCoffeeDay from MX! Did you know we are a leading global exporter of coffee? http://bit.ly/1iIJv94
1627,Video: Mexico City US Tourist Talks About Her Favorite Experiences http://goo.gl/V9l9B #mexicotoday #travel,2,Video: Mexico City US Tourist Talks About Her Favorite Experiences http://goo.gl/V9l9B #mexicotoday #travel
4000,We're up to 28 bodies pulled so far from mass graves in #Iguala. Students plan road blockades. Our story yesterday: https://news.vice.com/article/bodies-found-in-mass-graves-could-be-missing-students-in-mexico …,0,We're up to 28 bodies pulled so far from mass graves in #Iguala. Students plan road blockades. Our story yesterday: https://news.vice.com/article/bodies-found-in-mass-graves-could-be-missing-students-in-mexico …
5985,"Not a good sign: Town Booted out Mexico’s Political Parties, But Now Some Residents Want Them Back https://news.vice.com/article/town-booted-out-mexicos-political-parties-but-now-some-residents-want-them-back … @vicenews #Cherán",1,"Not a good sign: Town Booted out Mexico’s Political Parties, But Now Some Residents Want Them Back https://news.vice.com/article/town-booted-out-mexicos-political-parties-but-now-some-residents-want-them-back … @vicenews #Cherán"
4040,"25 of 42 killed at the #Mexico ranch were from one town, Ocotlan, Jalisco. @VICENEWS reporters were at their burials https://news.vice.com/article/mexico-denies-massacre-at-ranch-as-families-bury-the-accused-cartel-dead-in-jalisco …",0,"25 of 42 killed at the #Mexico ranch were from one town, Ocotlan, Jalisco. @VICENEWS reporters were at their burials https://news.vice.com/article/mexico-denies-massacre-at-ranch-as-families-bury-the-accused-cartel-dead-in-jalisco …"
4937,Ten oil workers from a Texas company missing after evacuating platform off Mexico for Tropical Storm Nate: http://apne.ws/kwrqgC  -EC,0,Ten oil workers from a Texas company missing after evacuating platform off Mexico for Tropical Storm Nate: http://apne.ws/kwrqgC  -EC
5549,Mexico says 2 Americans wounded in shooting attack on U.S. Embassy vehicle are CIA employees: http://apne.ws/OykZp2  -SC,0,Mexico says 2 Americans wounded in shooting attack on U.S. Embassy vehicle are CIA employees: http://apne.ws/OykZp2  -SC
3809,"In fact, the effects of the on-most-accounts failing drug war did not become a campaign talking-point for any of the candidates. #Mexico",1,"In fact, the effects of the on-most-accounts failing drug war did not become a campaign talking-point for any of the candidates. #Mexico"
1930,"Fallbrook missing-persons case: Where did the McStay family go? (Maybe into Mexico?) http://www.latimes.com/news/local/la-me-missing-family-20110530,0,4783005.story …",0,"Fallbrook missing-persons case: Where did the McStay family go? (Maybe into Mexico?) http://www.latimes.com/news/local/la-me-missing-family-20110530,0,4783005.story …"
771,"Very disappointed with General Motors and their CEO, Mary Barra, for closing plants in Ohio, Michigan and Maryland. Nothing being closed in Mexico & China. The U.S. saved  General Motors, and this is the THANKS we get! We are now looking at cutting all @GM subsidies, including..",1,"Very disappointed with General Motors and their CEO, Mary Barra, for closing plants in Ohio, Michigan and Maryland. Nothing being closed in Mexico & China. The U.S. saved  General Motors, and this is the THANKS we get! We are now looking at cutting all @GM subsidies, including.."
6301,"#Photo: Official schedule of the Int'l #Balloon Festival starting today in Leon, Guanajuato http://flic.kr/p/dtFYsB #mexicotoday @FIGLeon",2,"#Photo: Official schedule of the Int'l #Balloon Festival starting today in Leon, Guanajuato http://flic.kr/p/dtFYsB #mexicotoday @FIGLeon"
6583,"Must-Eat Dishes, From Myanmar to Mexico City http://nyti.ms/1pnSk6e",1,"Must-Eat Dishes, From Myanmar to Mexico City http://nyti.ms/1pnSk6e"
7569,México: identifican restos de un segundo estudiante de Ayotzinapa http://bbc.in/1NyBPBJ,0,Mexico: identify remains of a second ayotzinapa student http://bbc.in/1nybpbj
5501,Protesters set fire to Mexican palace as anger over missing students grows http://gu.com/p/436fq/tw,0,Protesters set fire to Mexican palace as anger over missing students grows http://gu.com/p/436fq/tw
4677,"Mexican tax plan weakened further, on cusp of final approval http://reut.rs/1dSncsW",2,"Mexican tax plan weakened further, on cusp of final approval http://reut.rs/1dSncsW"
6916,Powerful image of red shoes to show missing women in #Mexico - more from,0,Powerful image of red shoes to show missing women in #Mexico - more from
7310,Los asesinatos elevan en México la violencia política http://cort.as/HD9E Políticos y estudiantes han caído a balazos en los últimos días 78 retweets 21 favorites,0,The murders raise in Mexico the political violence http://cort.as/hd9e politicians and students have fallen to bullets in the last days 78 retweets 21 favorites
442,O Emb. Barrenechea apresentou as cópias figuradas de suas cartas credenciais. O #Brasil e o #México mantêm relações diplomáticas desde 1830.,2,The emb. Barrenechea presented the figured copies of their credential letters. #Brasil and # Mexico maintain diplomatic relations since 1830.
3005,"US Justice Department files lawsuit against BP, Transocean and other firms over Gulf of Mexico oil spill, from AP",0,"US Justice Department files lawsuit against BP, Transocean and other firms over Gulf of Mexico oil spill, from AP"
4445,"LAT: Blast at Mexico's #Pemex headquarters kills at least 14 http://www.latimes.com/news/world/worldnow/la-fg-wn-mexico-pemex-blast-20130131,0,5216533.story … via @latimesworld",0,"LAT: Blast at Mexico's #Pemex headquarters kills at least 14 http://www.latimes.com/news/world/worldnow/la-fg-wn-mexico-pemex-blast-20130131,0,5216533.story … via @latimesworld"
6470,Mexico arrests suspected murderer on FBI most wanted list http://reut.rs/QB1n6R,2,Mexico arrests suspected murderer on FBI most wanted list http://reut.rs/QB1n6R
4364,"Stay tuned for our interview with Rafael Becerra, director of the Jalisco Media Center in Guadalajara http://goo.gl/Ba9uO #mexicotoday",2,"Stay tuned for our interview with Rafael Becerra, director of the Jalisco Media Center in Guadalajara http://goo.gl/Ba9uO #mexicotoday"
495,Fuerza México. Siempre cuenten con el apoyo de Honduras. @EPN,2,Force Mexico. Always have the support of Honduras. @EPN.
6711,Cinco muertos por una estampida en el norte de México: Cinco personas murieron aplastadas en una estampida causada... http://bit.ly/cS66x5 5 retweets 1 favorite,0,Five dead by a stampede in northern Mexico: Five people died crushed into a stampede ... http://bit.ly/cs66x5 5 Retweets 1 Favorite
199,Great Q&A as we announce new opportunities for students in Canada & Mexico: http://bit.ly/298Hpyd #CanMexEdu,2,Great Q&A as we announce new opportunities for students in Canada & Mexico: http://bit.ly/298Hpyd #CanMexEdu
1454,"#MexicoToday contributor @bdpamericas says ""Mexico’s Middle Class Drives Housewares Market"" http://ow.ly/c9g8y",2,"#MexicoToday contributor @bdpamericas says ""Mexico’s Middle Class Drives Housewares Market"" http://ow.ly/c9g8y"
7750,The Government Is Reining In Youth Sports. The Adults Are Worried.,1,The Government Is Reining In Youth Sports. The Adults Are Worried.
5334,Drone carrying drugs crashes south of U.S. border. http://cnn.it/1yVsBuE,0,Drone carrying drugs crashes south of U.S. border. http://cnn.it/1yVsBuE
4430,"Mexico's military says it has captured Daniel Elizondo Ramirez, a Zeta, accused of carrying out massacre of 49 people in Nuevo Leon. #MTY",0,"Mexico's military says it has captured Daniel Elizondo Ramirez, a Zeta, accused of carrying out massacre of 49 people in Nuevo Leon. #MTY"
2852,"The conferences and talks will be at Castillo de Chapultepec and Antropolgia. I'm on a panel on Friday as ""(Estados Unidos/Mexico)"" seeya!",2,"The conferences and talks will be at Castillo de Chapultepec and Antropolgia. I'm on a panel on Friday as ""(Estados Unidos/Mexico)"" seeya!"
7036,"¿Cuáles son las palabras más autóctonas de México, Panamá y Uruguay? http://ow.ly/pWzA4 Os lo cuenta @elpais_blogs Papeles Perdidos 45 retweets 22 favorites",1,"What are the most autochthonous words in Mexico, Panama and Uruguay? http://ow.ly/pwza4 you count @elpais_blogs lost papers 45 retweets 22 favorites"
2719,"USGS is calling quake that shook Mexico a preliminary magnitude 7.4 centered just off Guatemala, but Mexico sources say it hit in Chiapas.",1,"USGS is calling quake that shook Mexico a preliminary magnitude 7.4 centered just off Guatemala, but Mexico sources say it hit in Chiapas."
3423,"Police in Texas seize weapons allegedly being smuggled to drug gangs in Mexico, in one of the largest weapons .. http://bit.ly/ayZAVy",0,"Police in Texas seize weapons allegedly being smuggled to drug gangs in Mexico, in one of the largest weapons .. http://bit.ly/ayZAVy"
7097,"Sinaloa sin El Señor de los narcos http://ow.ly/u98hm Viaje a Badiraguato, la cuna del caído Joaquín 'El Chapo' Guzmán #México 31 retweets 32 favorites",1,"Sinaloa without the Lord of the Narcos http://ow.ly/u98hm Travel to Badiraguato, the cradle of the fallen Joaquín 'El Chapo' Guzmán # Mexico 31 Retweets 32 Favorites"
4949,"195 tonnes of chemicals, which can be used to make methamphetamine, seized by #Mexico's navy http://bbc.in/xrGguQ",2,"195 tonnes of chemicals, which can be used to make methamphetamine, seized by #Mexico's navy http://bbc.in/xrGguQ"
7342,"La hoguera que oscureció la noche de Iguala http://ow.ly/E13Im Así fue la masacre de estudiantes en México, por @jmahrens 293 retweets 112 favorites",0,"The bonfire that darkened night of equal http://ow.ly/e13im so was the student massacre in Mexico, by @jmahrens 293 Retweets 112 Favorites"
4815,Furniture made out of cardboard? Find out how the Pan Am Games supports sustainability http://bit.ly/pmYXjZ @guadalajara2011 #mexicotoday,2,Furniture made out of cardboard? Find out how the Pan Am Games supports sustainability http://bit.ly/pmYXjZ @guadalajara2011 #mexicotoday
5406,No one knows with certainty how many people have died in Mexico due to the U.S.-backed drug war. The Calderon government stopped counting.,0,No one knows with certainty how many people have died in Mexico due to the U.S.-backed drug war. The Calderon government stopped counting.
6436,Shadow of leftist protests hangs over Mexico election http://reut.rs/KVkzcH,0,Shadow of leftist protests hangs over Mexico election http://reut.rs/KVkzcH
4275,"Mexico taking down the most notorious drug cartel capos, leaving few recognizable names on most wanted list http://u.afp.com/VAH",2,"Mexico taking down the most notorious drug cartel capos, leaving few recognizable names on most wanted list http://u.afp.com/VAH"
7416,¡Impresionante! Vine de la espectacular explosión del Volcán #Popocatépetl este miércoles,1,Impressive! Vine of the spectacular explosion of the volcano # popocatépetl this Wednesday
7156,¿Qué tanto saben los mexicanos de Brasil y los brasileños de México? Descúbralo con este sencillo TEST ---> http://cort.as/D2do  37 retweets 11 favorites,1,How do Mexicans from Brazil and Brazilians know so much? Discover it with this simple test ---> http://cort.as/d2do 37 retweets 11 favorites
1370,Kimberly-Clark Mexico outperforming in Mexico’s economy during the global recession http://goo.gl/cAKPn #mexicotoday,2,Kimberly-Clark Mexico outperforming in Mexico’s economy during the global recession http://goo.gl/cAKPn #mexicotoday
7222,Detenido uno de los responsables de la matanza de 72 inmigrantes en México http://ow.ly/L6aUr Ocurrió en Tamaulipas en 2010 61 retweets 37 favorites,2,Detained one of those responsible for the 72 immigrant killing in Mexico http://ow.ly/l6aur happened in Tamaulipas in 2010 61 Retweets 37 Favorites
5387,"At Pan Am Games, to be a Mexican is to be a star http://goo.gl/o7pU5 #mexicotoday @guadalajara2011",1,"At Pan Am Games, to be a Mexican is to be a star http://goo.gl/o7pU5 #mexicotoday @guadalajara2011"
1314,Technology in Developing Economies like Mexico and China Advantageous to Innovation http://goo.gl/gfyOZ #mexicotoday,2,Technology in Developing Economies like Mexico and China Advantageous to Innovation http://goo.gl/gfyOZ #mexicotoday
133,The Queen and The Duke of Edinburgh say goodbye to the President and First Lady of Mexico #MexStateVisit,2,The Queen and The Duke of Edinburgh say goodbye to the President and First Lady of Mexico #MexStateVisit
3465,#UPDATES: chief prosecutor of Mexico's Guerrero state said it would take at least 15 days to identify the bodies http://u.afp.com/XCk,0,#UPDATES: chief prosecutor of Mexico's Guerrero state said it would take at least 15 days to identify the bodies http://u.afp.com/XCk
1070,Me encantaría conocer a mis fans ahora que estaré presentándome en Monterrey el 6 de diciembre. Sólo tienen que escuchar REGGAETON @UMusicMexico @SpotifyMexico.  Acá toda la información: https://t.co/YYdT1F3hiT,2,I would love to meet my fans now that I will be presenting me at Monterrey on December 6. They just have to listen to reggaeton @umusicmexico @spotifymexico. Here all the information: https://t.co/ydt1f3hit
6946,En @elpais_america EE UU cree que Maduro intenta distorsionar las elecciones; nueva jornada violenta en México http://elpais.com/elpais/portada_america.html … 43 retweets 4 favorites ,0,In @elpais_america ee uu believe that mature tries to distort the elections; New Violent Day in Mexico http://elpais.com/elpais/portada_america.html ... 43 Retweets 4 Favorites
